utc_timestamp,season,split,price_eur_per_mwh,load_mwh
2024-01-01T00:00:00+00:00,winter,development,10.769388,2186.418009
2024-01-01T01:00:00+00:00,winter,development,13.113671,2216.316956
2024-01-01T02:00:00+00:00,winter,development,14.991443,2248.826954
2024-01-01T03:00:00+00:00,winter,development,16.541171,2279.583750
2024-01-01T04:00:00+00:00,winter,development,18.017207,2307.257807
2024-01-01T05:00:00+00:00,winter,development,19.678688,2333.435064
2024-01-01T06:00:00+00:00,winter,development,21.678106,2361.572372
2024-01-01T07:00:00+00:00,winter,development,23.982264,2395.349754
2024-01-01T08:00:00+00:00,winter,development,26.349355,2436.910240
2024-01-01T09:00:00+00:00,winter,development,28.370483,2485.511739
2024-01-01T10:00:00+00:00,winter,development,29.566049,2537.004985
2024-01-01T11:00:00+00:00,winter,development,29.512060,2584.326691
2024-01-01T12:00:00+00:00,winter,development,27.962663,2618.918009
2024-01-01T13:00:00+00:00,winter,development,24.935434,2632.720673
2024-01-01T14:00:00+00:00,winter,development,20.735239,2620.236317
2024-01-01T15:00:00+00:00,winter,development,15.908319,2580.104132
2024-01-01T16:00:00+00:00,winter,development,11.136448,2515.767140
2024-01-01T17:00:00+00:00,winter,development,7.096760,2435.028164
2024-01-01T18:00:00+00:00,winter,development,4.321894,2348.581991
2024-01-01T19:00:00+00:00,winter,development,3.095101,2267.874757
2024-01-01T20:00:00+00:00,winter,development,3.405836,2202.814851
2024-01-01T21:00:00+00:00,winter,development,4.975582,2159.895868
2024-01-01T22:00:00+00:00,winter,development,7.345426,2141.181691
2024-01-01T23:00:00+00:00,winter,development,10.001038,2144.376407
2024-01-02T00:00:00+00:00,winter,confirmation,12.501439,2163.918009
2024-01-02T01:00:00+00:00,winter,confirmation,14.577664,2192.770389
2024-01-02T02:00:00+00:00,winter,confirmation,16.176235,2224.413023
2024-01-02T03:00:00+00:00,winter,confirmation,17.437746,2254.488261
2024-01-02T04:00:00+00:00,winter,confirmation,18.618742,2281.671751
2024-01-02T05:00:00+00:00,winter,confirmation,19.980604,2307.553167
2024-01-02T06:00:00+00:00,winter,confirmation,21.678106,2335.591610
2024-01-02T07:00:00+00:00,winter,confirmation,23.680347,2369.467856
2024-01-02T08:00:00+00:00,winter,confirmation,25.747820,2411.324184
2024-01-02T09:00:00+00:00,winter,confirmation,27.473908,2460.416250
2024-01-02T10:00:00+00:00,winter,confirmation,28.381256,2512.591055
2024-01-02T11:00:00+00:00,winter,confirmation,28.048067,2560.780124
2024-01-02T12:00:00+00:00,winter,confirmation,26.230612,2596.418009
2024-01-02T13:00:00+00:00,winter,confirmation,22.948507,2611.438478
2024-01-02T14:00:00+00:00,winter,confirmation,18.508557,2600.333899
2024-01-02T15:00:00+00:00,winter,confirmation,13.458829,2561.732959
2024-01-02T16:00:00+00:00,winter,confirmation,8.482793,2499.067028
2024-01-02T17:00:00+00:00,winter,confirmation,4.259134,2420.126211
2024-01-02T18:00:00+00:00,winter,confirmation,1.321894,2335.591610
2024-01-02T19:00:00+00:00,winter,confirmation,-0.044441,2256.894812
2024-01-02T20:00:00+00:00,winter,confirmation,0.150645,2193.928907
2024-01-02T21:00:00+00:00,winter,confirmation,1.629517,2153.171552
2024-01-02T22:00:00+00:00,winter,confirmation,3.933951,2136.670179
2024-01-02T23:00:00+00:00,winter,confirmation,6.550118,2142.112034
2024-01-03T00:00:00+00:00,winter,confirmation,9.037337,2163.918009
2024-01-03T01:00:00+00:00,winter,confirmation,11.126744,2195.034761
2024-01-03T02:00:00+00:00,winter,confirmation,12.764761,2228.924535
2024-01-03T03:00:00+00:00,winter,confirmation,14.091681,2261.212577
2024-01-03T04:00:00+00:00,winter,confirmation,15.363552,2290.557695
2024-01-03T05:00:00+00:00,winter,confirmation,16.841062,2318.533112
2024-01-03T06:00:00+00:00,winter,confirmation,18.678106,2348.581991
2024-01-03T07:00:00+00:00,winter,confirmation,20.842721,2384.369809
2024-01-03T08:00:00+00:00,winter,confirmation,23.094164,2428.024296
2024-01-03T09:00:00+00:00,winter,confirmation,25.024418,2478.787423
2024-01-03T10:00:00+00:00,winter,confirmation,26.154574,2532.493473
2024-01-03T11:00:00+00:00,winter,confirmation,26.061140,2582.062318
2024-01-03T12:00:00+00:00,winter,confirmation,24.498561,2618.918009
2024-01-03T13:00:00+00:00,winter,confirmation,21.484514,2634.985045
2024-01-03T14:00:00+00:00,winter,confirmation,17.323765,2624.747829
2024-01-03T15:00:00+00:00,winter,confirmation,12.562254,2586.828448
2024-01-03T16:00:00+00:00,winter,confirmation,7.881258,2524.653084
2024-01-03T17:00:00+00:00,winter,confirmation,3.957218,2446.008108
2024-01-03T18:00:00+00:00,winter,confirmation,1.321894,2361.572372
2024-01-03T19:00:00+00:00,winter,confirmation,0.257475,2282.776710
2024-01-03T20:00:00+00:00,winter,confirmation,0.752180,2219.514963
2024-01-03T21:00:00+00:00,winter,confirmation,2.526092,2178.267041
2024-01-03T22:00:00+00:00,winter,confirmation,5.118744,2161.084110
2024-01-03T23:00:00+00:00,winter,confirmation,8.014111,2165.658601
2024-04-01T00:00:00+00:00,spring,development,32.452330,1986.418009
2024-04-01T01:00:00+00:00,spring,development,34.711220,2016.315338
2024-04-01T02:00:00+00:00,spring,development,36.491058,2048.820506
2024-04-01T03:00:00+00:00,spring,development,37.931041,2079.569337
2024-04-01T04:00:00+00:00,spring,development,39.286343,2107.232414
2024-04-01T05:00:00+00:00,spring,development,40.817008,2133.395850
2024-04-01T06:00:00+00:00,spring,development,42.676521,2161.516710
2024-04-01T07:00:00+00:00,spring,development,44.832742,2195.275276
2024-04-01T08:00:00+00:00,spring,development,47.044994,2236.814880
2024-04-01T09:00:00+00:00,spring,development,48.905561,2285.393763
2024-04-01T10:00:00+00:00,spring,development,49.936073,2336.863028
2024-04-01T11:00:00+00:00,spring,development,49.713803,2384.159784
2024-04-01T12:00:00+00:00,spring,development,47.994194,2418.725601
2024-04-01T13:00:00+00:00,spring,development,44.796131,2432.502653
2024-04-01T14:00:00+00:00,spring,development,40.425802,2419.993024
2024-04-01T15:00:00+00:00,spring,development,35.430764,2379.836362
2024-04-01T16:00:00+00:00,spring,development,30.494097,2315.476152
2024-04-01T17:00:00+00:00,spring,development,26.294214,2234.715672
2024-04-01T18:00:00+00:00,spring,development,23.365004,2148.250160
2024-04-01T19:00:00+00:00,spring,development,21.990925,2067.526183
2024-04-01T20:00:00+00:00,spring,development,22.162586,2002.452545
2024-04-01T21:00:00+00:00,spring,development,23.602562,1959.523227
2024-04-01T22:00:00+00:00,spring,development,25.852965,1940.802470
2024-04-01T23:00:00+00:00,spring,development,28.400412,1943.994679
