utc_timestamp,price_eur_per_mwh,load_mwh,split
2024-01-01T00:00:00+00:00,31.957015,1900.000000,development
2024-01-01T01:00:00+00:00,34.819908,1912.008094,development
2024-01-01T02:00:00+00:00,38.164245,1940.466108,development
2024-01-01T03:00:00+00:00,41.761361,1983.665400,development
2024-01-01T04:00:00+00:00,45.364858,2038.891854,development
2024-01-01T05:00:00+00:00,48.727406,2102.610408,development
2024-01-01T06:00:00+00:00,51.617597,2170.705524,development
2024-01-01T07:00:00+00:00,53.835722,2238.761225,development
2024-01-01T08:00:00+00:00,55.227383,2302.361611,development
2024-01-01T09:00:00+00:00,55.694026,2357.391370,development
2024-01-01T10:00:00+00:00,55.199658,2400.315812,development
2024-01-01T11:00:00+00:00,53.773316,2428.421346,development
2024-01-01T12:00:00+00:00,51.507087,2440.000000,development
2024-01-01T13:00:00+00:00,48.549851,2434.465425,development
2024-01-01T14:00:00+00:00,45.097142,2412.392466,development
2024-01-01T15:00:00+00:00,41.377832,2375.477610,development
2024-01-01T16:00:00+00:00,37.638550,2326.423009,development
2024-01-01T17:00:00+00:00,34.126887,2268.751978,development
2024-01-01T18:00:00+00:00,31.074533,2206.568542,development
2024-01-01T19:00:00+00:00,28.681507,2144.277426,development
2024-01-01T20:00:00+00:00,27.102538,2086.283555,development
2024-01-01T21:00:00+00:00,26.436538,2036.691572,development
2024-01-01T22:00:00+00:00,26.719878,1999.025813,development
2024-01-01T23:00:00+00:00,27.923926,1975.989859,development
2024-01-02T00:00:00+00:00,29.957015,1969.282032,development
2024-01-02T01:00:00+00:00,32.670709,1979.479410,development
2024-01-02T02:00:00+00:00,35.869940,2005.998272,development
2024-01-02T03:00:00+00:00,39.326315,2047.133667,development
2024-01-02T04:00:00+00:00,42.793708,2100.175410,development
2024-01-02T05:00:00+00:00,46.025045,2161.592595,development
2024-01-02T06:00:00+00:00,48.789170,2227.274066,development
2024-01-02T07:00:00+00:00,50.886612,2292.808442,development
2024-01-02T08:00:00+00:00,52.163205,2353.784620,development
2024-01-02T09:00:00+00:00,52.520612,2406.092284,development
2024-01-02T10:00:00+00:00,51.923050,2446.201927,development
2024-01-02T11:00:00+00:00,50.399750,2471.405314,development
2024-01-02T12:00:00+00:00,48.042985,2480.000000,development
2024-01-02T13:00:00+00:00,45.001808,2471.405314,development
2024-01-02T14:00:00+00:00,41.471910,2446.201927,development
2024-01-02T15:00:00+00:00,37.682314,2406.092284,development
2024-01-02T16:00:00+00:00,33.879780,2353.784620,development
2024-01-02T17:00:00+00:00,30.312019,2292.808442,development
2024-01-02T18:00:00+00:00,27.210830,2227.274066,development
2024-01-02T19:00:00+00:00,24.776323,2161.592595,development
2024-01-02T20:00:00+00:00,23.163307,2100.175410,development
2024-01-02T21:00:00+00:00,22.470759,2047.133667,development
2024-01-02T22:00:00+00:00,22.735100,2005.998272,development
2024-01-02T23:00:00+00:00,23.927733,1979.479410,development
2024-01-03T00:00:00+00:00,25.957015,1969.282032,development
2024-01-03T01:00:00+00:00,28.674516,1975.989859,development
2024-01-03T02:00:00+00:00,31.885161,1999.025813,development
2024-01-03T03:00:00+00:00,35.360536,2036.691572,development
2024-01-03T04:00:00+00:00,38.854477,2086.283555,development
2024-01-03T05:00:00+00:00,42.119861,2144.277426,development
2024-01-03T06:00:00+00:00,44.925467,2206.568542,development
2024-01-03T07:00:00+00:00,47.071745,2268.751978,development
2024-01-03T08:00:00+00:00,48.404435,2326.423009,development
2024-01-03T09:00:00+00:00,48.825094,2375.477610,development
2024-01-03T10:00:00+00:00,48.297819,2412.392466,development
2024-01-03T11:00:00+00:00,46.851707,2434.465425,development
2024-01-03T12:00:00+00:00,44.578884,2440.000000,development
2024-01-03T13:00:00+00:00,41.628242,2428.421346,development
2024-01-03T14:00:00+00:00,38.195302,2400.315812,development
2024-01-03T15:00:00+00:00,34.508900,2357.391370,development
2024-01-03T16:00:00+00:00,30.815602,2302.361611,development
2024-01-03T17:00:00+00:00,27.362910,2238.761225,development
2024-01-03T18:00:00+00:00,24.382403,2170.705524,development
2024-01-03T19:00:00+00:00,22.073962,2102.610408,development
2024-01-03T20:00:00+00:00,20.592156,2038.891854,development
2024-01-03T21:00:00+00:00,20.035713,1983.665400,development
2024-01-03T22:00:00+00:00,20.440794,1940.466108,development
2024-01-03T23:00:00+00:00,21.778535,1912.008094,development
2024-01-04T00:00:00+00:00,23.957015,1900.000000,confirmation
2024-01-04T01:00:00+00:00,26.827522,1905.028992,confirmation
2024-01-04T02:00:00+00:00,30.194688,1926.521190,confirmation
2024-01-04T03:00:00+00:00,33.829802,1962.781209,confirmation
2024-01-04T04:00:00+00:00,37.486396,2011.108146,confirmation
2024-01-04T05:00:00+00:00,40.917038,2067.980070,confirmation
2024-01-04T06:00:00+00:00,43.890191,2129.294476,confirmation
2024-01-04T07:00:00+00:00,46.205986,2190.648297,confirmation
2024-01-04T08:00:00+00:00,47.709842,2247.638389,confirmation
2024-01-04T09:00:00+00:00,48.302989,2296.162021,confirmation
2024-01-04T10:00:00+00:00,47.949196,2332.696890,confirmation
2024-01-04T11:00:00+00:00,46.677229,2354.541568,confirmation
2024-01-04T12:00:00+00:00,44.578884,2360.000000,confirmation
2024-01-04T13:00:00+00:00,41.802720,2348.497488,confirmation
2024-01-04T14:00:00+00:00,38.543925,2320.620236,confirmation
2024-01-04T15:00:00+00:00,35.031005,2278.075781,confirmation
2024-01-04T16:00:00+00:00,31.510195,2223.576991,confirmation
2024-01-04T17:00:00+00:00,28.228668,2160.657545,confirmation
2024-01-04T18:00:00+00:00,25.417679,2093.431458,confirmation
2024-01-04T19:00:00+00:00,23.276785,2026.313052,confirmation
2024-01-04T20:00:00+00:00,21.960237,1963.716445,confirmation
2024-01-04T21:00:00+00:00,21.566447,1909.755037,confirmation
2024-01-04T22:00:00+00:00,22.131267,1867.961486,confirmation
2024-01-04T23:00:00+00:00,23.625529,1841.047228,confirmation
2024-01-05T00:00:00+00:00,25.957015,1830.717968,confirmation
2024-01-05T01:00:00+00:00,28.976720,1837.557677,confirmation
2024-01-05T02:00:00+00:00,32.488994,1860.989026,confirmation
2024-01-05T03:00:00+00:00,36.264848,1899.312942,confirmation
2024-01-05T04:00:00+00:00,40.057547,1949.824590,confirmation
2024-01-05T05:00:00+00:00,43.619399,2008.997883,confirmation
2024-01-05T06:00:00+00:00,46.718618,2072.725934,confirmation
2024-01-05T07:00:00+00:00,49.155095,2136.601081,confirmation
2024-01-05T08:00:00+00:00,50.774020,2196.215380,confirmation
2024-01-05T09:00:00+00:00,51.476403,2247.461106,confirmation
2024-01-05T10:00:00+00:00,51.225804,2286.810775,confirmation
2024-01-05T11:00:00+00:00,50.050795,2311.557599,confirmation
2024-01-05T12:00:00+00:00,48.042985,2320.000000,confirmation
2024-01-05T13:00:00+00:00,45.350763,2311.557599,confirmation
2024-01-05T14:00:00+00:00,42.169156,2286.810775,confirmation
2024-01-05T15:00:00+00:00,38.726523,2247.461106,confirmation
2024-01-05T16:00:00+00:00,35.268965,2196.215380,confirmation
2024-01-05T17:00:00+00:00,32.043536,2136.601081,confirmation
2024-01-05T18:00:00+00:00,29.281382,2072.725934,confirmation
2024-01-05T19:00:00+00:00,27.181969,2008.997883,confirmation
2024-01-05T20:00:00+00:00,25.899468,1949.824590,confirmation
